timestamp,warehouseid,itemtype,itemid,regionid,currentstock
2023-01-01,1,row,48,3,166
2023-01-01,1,product,50,4,57
2023-01-01,2,product,5,3,111
2023-01-01,2,product,9,1,159
2023-01-01,2,row,20,1,210
2023-01-01,4,product,3,4,46
2023-01-01,4,product,26,3,113
2023-01-01,4,product,44,2,86
2023-01-01,4,product,47,4,81
2023-01-01,5,product,10,3,160
2023-01-01,5,product,16,2,83
2023-01-01,5,row,27,4,30
2023-01-01,5,product,28,1,105
2023-01-01,5,row,32,4,153
2023-01-02,1,row,8,4,148
2023-01-02,1,row,49,2,56
2023-01-02,2,product,8,2,164
2023-01-02,2,product,12,4,123
2023-01-02,2,product,25,2,86
2023-01-02,2,product,29,3,200
2023-01-02,2,row,44,4,81
2023-01-02,3,product,15,3,192
2023-01-02,3,row,33,2,96
2023-01-02,4,product,6,1,87
2023-01-02,4,row,8,2,171
2023-01-02,4,row,43,2,144
2023-01-02,5,product,6,1,80
2023-01-02,5,row,17,4,36
2023-01-03,1,product,11,4,114
2023-01-03,1,row,21,3,88
2023-01-03,1,row,23,4,53
2023-01-03,2,product,44,2,99
2023-01-03,2,row,44,1,120
2023-01-03,3,product,50,2,72
2023-01-03,4,product,20,2,134
2023-01-03,4,product,26,4,93
2023-01-03,4,row,34,2,200
2023-01-03,4,row,48,4,108
2023-01-03,5,row,10,1,160
2023-01-03,5,row,20,3,184
2023-01-03,5,product,38,1,202
2023-01-03,5,product,49,2,50
2023-01-04,1,row,11,2,122
2023-01-04,1,product,19,3,101
2023-01-04,1,row,25,2,102
2023-01-04,2,product,22,1,105
2023-01-04,2,row,26,3,119
2023-01-04,2,row,29,1,192
2023-01-04,3,product,15,3,214
2023-01-04,3,row,24,3,155
2023-01-04,3,row,36,1,166
2023-01-04,4,row,16,2,105
2023-01-04,4,row,30,4,92
2023-01-04,4,row,40,1,130
2023-01-04,5,product,25,3,103
2023-01-04,5,row,29,2,137
2023-01-05,1,product,8,3,231
2023-01-05,1,row,18,2,124
2023-01-05,2,row,5,4,111
2023-01-05,2,product,6,4,60
2023-01-05,2,product,20,3,159
2023-01-05,3,product,29,1,178
2023-01-05,3,product,33,3,90
2023-01-05,4,row,3,4,43
2023-01-05,4,product,6,3,69
2023-01-05,4,product,10,2,108
2023-01-05,5,row,2,2,135
2023-01-05,5,product,21,2,57
2023-01-05,5,row,27,2,62
2023-01-05,5,product,47,1,181
2023-01-06,1,product,13,3,201
2023-01-06,1,product,27,4,56
2023-01-06,1,product,46,3,147
2023-01-06,3,row,8,3,171
2023-01-06,3,product,16,2,99
2023-01-06,3,product,34,4,156
2023-01-06,4,row,15,4,173
2023-01-06,4,row,32,3,218
2023-01-06,4,product,45,1,223
2023-01-06,4,product,48,3,199
2023-01-06,4,product,49,3,69
2023-01-06,5,row,2,1,206
2023-01-06,5,product,17,3,61
2023-01-06,5,row,27,4,53
2023-01-07,1,row,1,3,173
2023-01-07,1,row,8,1,176
2023-01-07,2,row,12,1,177
2023-01-07,2,product,41,4,44
2023-01-07,3,row,16,2,84
2023-01-07,3,product,26,1,105
2023-01-07,3,product,33,1,99
2023-01-07,3,row,47,2,117
2023-01-07,4,product,2,4,108
2023-01-07,4,product,42,4,43
2023-01-07,5,product,5,1,137
2023-01-07,5,row,32,2,164
2023-01-07,5,row,45,1,198
2023-01-07,5,row,45,2,132
2023-01-08,1,product,8,4,124
2023-01-08,1,row,23,2,58
2023-01-08,1,product,26,1,102
2023-01-08,2,row,5,3,135
2023-01-08,2,row,7,3,166
2023-01-08,2,row,26,3,139
2023-01-08,2,product,28,2,83
2023-01-08,2,product,30,4,80
2023-01-08,2,product,32,2,140
2023-01-08,2,product,36,4,73
2023-01-08,2,row,45,3,191
2023-01-08,3,row,26,4,76
2023-01-08,4,product,32,1,247
2023-01-08,4,row,33,2,85
2023-01-09,1,row,2,1,196
2023-01-09,1,row,2,1,176
2023-01-09,1,product,35,1,79
2023-01-09,1,row,41,2,63
2023-01-09,1,row,41,1,75
2023-01-09,2,product,4,4,124
2023-01-09,2,product,37,2,50
2023-01-09,2,row,45,4,156
2023-01-09,3,row,2,3,155
2023-01-09,3,product,12,2,140
2023-01-09,3,row,17,4,46
2023-01-09,3,product,24,1,169
2023-01-09,4,row,30,1,150
2023-01-09,5,row,13,3,181
2023-01-10,1,row,4,2,122
2023-01-10,2,product,28,2,98
2023-01-10,2,row,43,3,177
2023-01-10,2,row,44,2,81
2023-01-10,2,row,48,4,134
2023-01-10,3,product,15,4,161
2023-01-10,3,row,25,3,119
2023-01-10,3,product,30,3,116
2023-01-10,4,product,8,1,194
2023-01-10,4,row,10,3,143
2023-01-10,4,product,22,2,110
2023-01-10,4,product,50,2,77
2023-01-10,5,product,29,2,149
2023-01-10,5,product,39,2,140
2023-01-11,1,product,7,1,163
2023-01-11,2,row,21,4,64
2023-01-11,2,row,33,4,84
2023-01-11,2,row,41,3,70
2023-01-11,3,product,34,2,158
2023-01-11,3,row,43,3,171
2023-01-11,4,row,5,3,160
2023-01-11,4,product,10,2,111
2023-01-11,4,product,27,4,44
2023-01-11,4,product,28,4,98
2023-01-11,4,product,43,3,187
2023-01-11,5,row,29,4,134
2023-01-11,5,row,42,4,43
2023-01-11,5,product,44,1,135
2023-01-12,1,product,4,1,213
2023-01-12,1,product,5,3,156
2023-01-12,2,product,2,2,125
2023-01-12,2,product,10,3,137
2023-01-12,3,product,5,2,105
2023-01-12,3,product,15,2,215
2023-01-12,3,row,19,2,71
2023-01-12,3,row,43,1,172
2023-01-12,4,product,20,1,246
2023-01-12,4,product,28,2,100
2023-01-12,5,product,20,3,206
2023-01-12,5,row,23,3,80
2023-01-12,5,row,39,1,171
2023-01-12,5,row,44,4,96
2023-01-13,1,row,15,1,279
2023-01-13,1,row,19,4,74
2023-01-13,2,row,22,2,117
2023-01-13,2,product,42,2,64
2023-01-13,3,row,1,3,184
2023-01-13,3,product,19,2,78
2023-01-13,3,row,24,2,144
2023-01-13,4,product,18,3,177
2023-01-13,4,product,26,3,127
2023-01-13,4,product,27,2,54
2023-01-13,4,row,39,1,190
2023-01-13,5,row,5,4,91
2023-01-13,5,product,33,1,121
2023-01-13,5,row,45,4,149
2023-01-14,1,row,26,3,106
2023-01-14,1,row,47,1,162
2023-01-14,2,row,15,1,258
2023-01-14,2,product,25,3,112
2023-01-14,2,row,27,2,62
2023-01-14,2,product,38,3,184
2023-01-14,3,product,15,4,160
2023-01-14,3,product,37,3,67
2023-01-14,3,row,43,1,179
2023-01-14,4,product,7,3,146
2023-01-14,4,product,21,4,39
2023-01-14,4,product,24,4,99
2023-01-14,5,product,7,3,158
2023-01-14,5,product,15,1,200
2023-01-15,1,row,3,4,45
2023-01-15,1,row,14,1,219
2023-01-15,1,row,46,3,157
2023-01-15,1,row,49,4,51
2023-01-15,2,row,38,1,213
2023-01-15,2,row,38,1,252
2023-01-15,3,row,15,3,208
2023-01-15,3,row,37,1,76
2023-01-15,3,row,44,3,112
2023-01-15,4,product,22,3,98
2023-01-15,4,row,22,2,89
2023-01-15,4,product,47,1,176
2023-01-15,5,row,8,2,129
2023-01-15,5,row,15,2,167
2023-01-16,1,product,17,2,49
2023-01-16,1,product,27,2,63
2023-01-16,1,product,31,1,150
2023-01-16,1,product,36,4,87
2023-01-16,1,row,44,2,100
2023-01-16,2,row,10,4,136
2023-01-16,2,product,28,1,146
2023-01-16,2,product,31,3,141
2023-01-16,3,row,32,3,193
2023-01-16,4,product,6,1,86
2023-01-16,4,product,11,3,225
2023-01-16,4,product,30,2,96
2023-01-16,5,row,1,2,144
2023-01-16,5,product,43,3,170
2023-01-17,1,row,26,2,106
2023-01-17,1,product,29,2,132
2023-01-17,1,product,32,4,153
2023-01-17,1,row,42,2,57
2023-01-17,2,product,26,3,110
2023-01-17,2,product,36,1,156
2023-01-17,2,row,41,1,82
2023-01-17,2,product,46,1,160
2023-01-17,2,product,46,3,154
2023-01-17,3,product,13,2,158
2023-01-17,3,row,32,1,219
2023-01-17,4,product,7,2,163
2023-01-17,4,product,30,3,111
2023-01-17,5,product,37,4,64
2023-01-18,1,product,15,1,220
2023-01-18,2,product,6,2,80
2023-01-18,2,product,29,3,205
2023-01-18,2,product,39,2,134
2023-01-18,3,row,26,4,70
2023-01-18,3,row,28,1,133
2023-01-18,3,product,35,1,84
2023-01-18,4,product,3,4,62
2023-01-18,4,product,10,3,161
2023-01-18,4,product,30,3,141
2023-01-18,4,row,40,4,108
2023-01-18,5,product,23,2,78
