OrderID,Date,Year,Month,DayOfWeek,RegionID,ClientID,NumberOfItems,TotalQuantity,AvgProductPrice,DistinctCategories,MaterialDiversity,Status,TotalPrice
1000,2025-02-01,2025,2,Saturday,R3,C123,7,13,47.64,2,2,Returned,567.33
1001,2025-02-09,2025,2,Sunday,R2,C789,7,23,33.53,5,7,Shipped,618.79
1002,2025-05-11,2025,5,Sunday,R2,C123,9,42,25.92,2,3,Returned,1063.47
1003,2025-06-02,2025,6,Monday,R1,C333,1,1,49.59,1,4,Shipped,41.72
1004,2025-05-09,2025,5,Friday,R3,C789,6,28,34.07,1,1,Canceled,1135.79
1005,2025-02-23,2025,2,Sunday,R2,C333,3,5,44.98,3,4,Open,263.94
1006,2025-06-17,2025,6,Tuesday,R4,C456,10,43,11.23,1,1,Open,465.98
1007,2025-03-10,2025,3,Monday,R4,C333,5,17,23.88,5,7,Returned,478.96
1008,2025-01-16,2025,1,Thursday,R3,C123,4,6,5.76,2,3,Open,32.8
1009,2025-02-17,2025,2,Monday,R2,C222,2,5,8.02,4,7,Open,32.44
1010,2025-04-15,2025,4,Tuesday,R1,C123,8,23,25.84,3,4,Returned,486.92
1011,2025-06-10,2025,6,Tuesday,R3,C333,8,13,42.16,2,3,Canceled,559.3
1012,2025-06-10,2025,6,Tuesday,R1,C444,8,30,17.95,4,7,Open,495.39
1013,2025-05-09,2025,5,Friday,R4,C333,10,11,22.45,4,5,Canceled,233.05
1014,2025-05-11,2025,5,Sunday,R1,C222,5,15,44.88,5,8,Shipped,629.96
1015,2025-03-24,2025,3,Monday,R3,C222,6,24,20.6,5,5,Canceled,414.98
1016,2025-02-18,2025,2,Tuesday,R3,C789,3,11,47.6,4,7,Shipped,431.52
1017,2025-01-29,2025,1,Wednesday,R1,C123,9,26,37.54,5,8,Shipped,1001.72
1018,2025-06-05,2025,6,Thursday,R4,C222,2,5,26.02,4,5,Returned,135.39
1019,2025-06-18,2025,6,Wednesday,R2,C789,6,9,33.87,4,7,Open,349.88
1020,2025-06-28,2025,6,Saturday,R2,C789,1,1,28.59,1,4,Returned,27.55
1021,2025-05-17,2025,5,Saturday,R2,C789,10,25,48.82,2,3,Returned,1285.78
1022,2025-03-21,2025,3,Friday,R4,C456,10,36,37.26,5,7,Open,1384.67
1023,2025-05-18,2025,5,Sunday,R1,C789,6,18,31.9,5,5,Open,556.34
1024,2025-04-27,2025,4,Sunday,R3,C456,7,12,36.82,2,5,Shipped,418.84
1025,2025-02-15,2025,2,Saturday,R1,C123,7,23,5.27,5,7,Shipped,115.51
1026,2025-02-12,2025,2,Wednesday,R1,C123,5,18,19.06,5,8,Returned,364.85
1027,2025-05-18,2025,5,Sunday,R4,C222,7,35,11.51,2,2,Open,476.33
1028,2025-01-06,2025,1,Monday,R2,C123,6,7,23.8,1,4,Shipped,160.11
1029,2025-04-15,2025,4,Tuesday,R1,C444,9,44,21.72,4,6,Open,941.5
1030,2025-05-18,2025,5,Sunday,R4,C456,1,4,14.49,1,2,Open,49.84
1031,2025-04-23,2025,4,Wednesday,R1,C111,10,22,14.36,5,6,Open,310.83
1032,2025-05-20,2025,5,Tuesday,R4,C333,8,36,9.71,4,5,Shipped,365.81
1033,2025-03-24,2025,3,Monday,R1,C123,10,23,9.76,2,3,Open,195.08
1034,2025-05-14,2025,5,Wednesday,R4,C222,1,2,8.45,4,6,Shipped,16.98
1035,2025-02-26,2025,2,Wednesday,R2,C456,3,11,42.28,4,7,Returned,525.6
1036,2025-05-31,2025,5,Saturday,R2,C333,6,18,29.39,5,5,Open,548.14
1037,2025-02-22,2025,2,Saturday,R3,C333,4,18,38.11,4,6,Canceled,784.95
1038,2025-04-18,2025,4,Friday,R1,C222,10,29,38.58,2,4,Shipped,1189.35
1039,2025-06-30,2025,6,Monday,R1,C123,9,9,31.34,1,3,Returned,243.59
1040,2025-05-23,2025,5,Friday,R1,C222,1,4,34.96,4,7,Returned,122.83
1041,2025-03-09,2025,3,Sunday,R4,C123,6,28,15.85,2,2,Shipped,408.42
1042,2025-02-12,2025,2,Wednesday,R2,C111,3,10,12.24,4,6,Shipped,115.76
1043,2025-03-25,2025,3,Tuesday,R3,C123,8,14,13.25,1,2,Returned,208.44
1044,2025-01-28,2025,1,Tuesday,R4,C123,6,12,49.58,2,5,Shipped,639.51
1045,2025-05-12,2025,5,Monday,R2,C789,8,39,6.29,2,3,Shipped,228.2
1046,2025-05-13,2025,5,Tuesday,R2,C123,3,4,38.18,5,5,Shipped,156.06
1047,2025-04-21,2025,4,Monday,R3,C456,7,11,43.28,4,5,Returned,492.65
1048,2025-03-12,2025,3,Wednesday,R2,C789,1,5,43.73,3,6,Open,246.65
1049,2025-03-02,2025,3,Sunday,R2,C789,8,10,23.19,3,5,Open,234.39
1050,2025-01-27,2025,1,Monday,R2,C456,6,25,38.78,4,6,Open,870.25
1051,2025-04-09,2025,4,Wednesday,R2,C456,2,6,30.32,1,2,Open,172.24
1052,2025-02-27,2025,2,Thursday,R3,C789,9,39,10.48,5,6,Shipped,362.85
1053,2025-02-21,2025,2,Friday,R4,C111,1,5,30.78,5,5,Open,161.78
1054,2025-01-21,2025,1,Tuesday,R1,C444,10,40,24.12,1,1,Open,1150.87
1055,2025-05-31,2025,5,Saturday,R2,C456,4,5,43.15,2,2,Shipped,251.98
1056,2025-06-29,2025,6,Sunday,R2,C789,7,30,12.73,2,5,Shipped,383.07
1057,2025-06-21,2025,6,Saturday,R1,C123,8,34,32.64,3,4,Shipped,1099.02
1058,2025-03-20,2025,3,Thursday,R3,C789,9,37,48.41,2,2,Shipped,2067.01
1059,2025-01-11,2025,1,Saturday,R1,C444,1,2,29.34,5,6,Returned,49.37
1060,2025-02-22,2025,2,Saturday,R3,C444,1,3,49.64,3,3,Canceled,131.88
1061,2025-03-02,2025,3,Sunday,R2,C789,10,10,40.75,3,4,Open,329.73
1062,2025-02-26,2025,2,Wednesday,R2,C123,1,1,46.65,2,5,Open,52.96
1063,2025-02-22,2025,2,Saturday,R1,C444,5,16,31.78,1,3,Open,582.56
1064,2025-04-14,2025,4,Monday,R1,C444,4,9,42.25,5,5,Shipped,447.0
1065,2025-05-15,2025,5,Thursday,R2,C456,4,9,6.66,1,1,Open,69.3
1066,2025-03-12,2025,3,Wednesday,R3,C222,5,24,35.58,5,5,Canceled,803.82
1067,2025-02-27,2025,2,Thursday,R3,C789,5,11,41.41,2,3,Open,395.58
1068,2025-01-23,2025,1,Thursday,R2,C333,8,26,24.69,5,7,Canceled,697.35
